StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
33,96.3,326.0,3.33,21.0,9.9,2.857142857142857,0.020000000000000018,3.3869999999999996,9.940000000000001,20.55,0.048316088877768795,3.0,True,1,Rowing segment,-0.002664298401420797,-0.005055611729019283,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
34,99.1,335.4,3.35,20.5,9.4,2.926829268292683,0.020000000000000018,3.374,9.9,20.5,0.03657564459825381,2.799999999999997,True,1,Rowing segment,0.0011841326228537606,-0.0010111223458038206,0.0024330900243309346,False,False,0.0,99.40793368857308,100.0,98.78345498783453,100.0,99.6
35,102.1,345.6,3.38,20.5,10.2,2.926829268292683,0.029999999999999805,3.3689999999999998,9.879999999999999,20.5,0.031073389830456946,3.0,True,1,Rowing segment,0.00266429840142106,0.0010111223458040002,0.0024330900243309346,False,False,0.0,98.66785079928947,99.49443882709797,98.78345498783453,100.0,99.2
36,105.1,355.6,3.4,20.0,10.0,3.0,0.020000000000000018,3.3689999999999998,9.84,20.45,0.031073389830456946,3.0,True,1,Rowing segment,0.00266429840142106,0.005055611729019283,0.004866180048661869,False,False,0.0,98.66785079928947,97.47219413549035,97.56690997566906,100.0,98.3
37,107.9,364.9,3.37,21.0,9.3,2.857142857142857,-0.029999999999999805,3.368,9.79,20.55,0.030840089349920836,2.8000000000000114,True,1,Rowing segment,0.002960331557134467,0.010111223458038566,0.0,False,False,0.0,98.51983422143273,94.94438827098067,100.0,100.0,97.7
38,110.9,374.8,3.35,21.0,9.9,2.857142857142857,-0.020000000000000018,3.3660000000000005,9.74,20.6,0.03134042472944822,3.0,True,1,Rowing segment,0.0035523978685611506,0.01516683518705767,0.0024330900243309346,False,False,0.0,98.22380106571943,92.41658240647115,98.78345498783453,100.0,96.5
39,113.7,384.6,3.4,20.0,9.8,3.0,0.04999999999999982,3.367,9.77,20.55,0.03233505150074054,2.799999999999997,True,1,Rowing segment,0.003256364712847875,0.012133468149646207,0.0,False,False,0.0,98.37181764357605,93.93326592517685,100.0,100.0,97.3
40,116.7,395.1,3.45,21.0,10.5,2.857142857142857,0.050000000000000266,3.371,9.809999999999999,20.6,0.03984692933938288,3.0,True,1,Rowing segment,0.002072232089994114,0.008088978766430924,0.0024330900243309346,False,False,0.0,98.96388395500293,95.95551061678452,98.78345498783453,100.0,98.0
41,119.5,405.0,3.48,20.0,9.9,3.0,0.029999999999999805,3.382,9.830000000000002,20.55,0.0526624470883507,2.799999999999997,True,1,Rowing segment,-0.0011841326228537606,0.006066734074822924,0.0,False,False,0.0,100.0,96.9666329625885,100.0,96.69399607319295,98.4
42,122.5,415.4,3.47,21.0,10.4,2.857142857142857,-0.009999999999999787,3.3980000000000006,9.930000000000001,20.6,0.05266244708835085,3.0,True,1,Rowing segment,-0.005920663114268934,-0.004044489383215462,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,96.6939960731928,99.3
43,125.3,425.1,3.45,21.0,9.7,2.857142857142857,-0.020000000000000018,3.41,9.91,20.6,0.0489897948556639,2.799999999999997,True,1,Rowing segment,-0.009473060982830085,-0.0020222446916076412,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,100.0,99.8
44,128.3,435.2,3.41,20.5,10.1,2.926829268292683,-0.040000000000000036,3.4160000000000004,9.98,20.6,0.044271887242357734,3.000000000000014,True,1,Rowing segment,-0.011249259917110791,-0.009100101112234565,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,100.0,99.8
45,131.3,445.0,3.34,20.5,9.8,2.926829268292683,-0.07000000000000028,3.4120000000000004,9.940000000000001,20.6,0.049396356140914255,3.0,True,1,Rowing segment,-0.01006512729425703,-0.005055611729019283,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,100.0,99.8
46,134.1,454.3,3.28,20.0,9.2,3.0,-0.06000000000000005,3.4,9.860000000000001,20.6,0.06480740698407891,2.799999999999983,True,1,Rowing segment,-0.006512729425695618,0.003033367037411462,0.0024330900243309346,False,False,0.0,100.0,98.48331648129427,98.78345498783453,84.40061975502691,96.9
47,137.1,463.9,3.25,20.5,9.7,2.926829268292683,-0.029999999999999805,3.3880000000000003,9.9,20.55,0.08024961059095577,3.0,True,1,Rowing segment,-0.002960331557134467,-0.0010111223458038206,0.0,False,False,0.0,100.0,100.0,100.0,68.76970604671158,95.3
48,140.1,473.7,3.26,21.0,9.8,2.857142857142857,0.009999999999999787,3.379,9.89,20.55,0.08949860334105805,3.0,True,1,Rowing segment,-0.0002960331557134073,0.0,0.0,False,False,0.0,100.0,99.99999999999997,100.0,59.407686787925115,93.9
49,142.9,483.2,3.31,20.5,9.5,2.926829268292683,0.050000000000000266,3.37,9.860000000000001,20.6,0.09165151389911702,2.8000000000000114,True,1,Rowing segment,0.002368265245707521,0.003033367037411462,0.0024330900243309346,False,False,0.0,98.8158673771462,98.48331648129427,98.78345498783453,57.2284667742896,92.5
50,145.9,493.1,3.38,20.0,9.9,3.0,0.06999999999999984,3.3629999999999995,9.8,20.5,0.08743886753358364,3.0,True,1,Rowing segment,0.004440497335701767,0.009100101112234565,0.0024330900243309346,False,False,0.0,97.7797513321491,95.44994944388267,98.78345498783453,61.49259341706852,91.7
51,148.7,501.9,3.39,21.0,8.9,2.857142857142857,0.010000000000000231,3.354,9.7,20.6,0.07820201759261446,2.799999999999983,True,1,Rowing segment,0.007104795737122564,0.019211324570273133,0.0024330900243309346,False,False,0.0,96.44760213143871,90.39433771486344,98.78345498783453,70.84232147658265,90.8
52,151.7,511.7,3.39,21.0,9.7,2.857142857142857,0.0,3.346,9.629999999999999,20.6,0.06850790708621414,3.0,True,1,Rowing segment,0.009473060982830085,0.026289180990900055,0.0024330900243309346,False,False,0.0,95.26346950858493,86.85540950454995,98.78345498783453,80.65489801435973,90.7
53,154.6,521.0,3.38,20.5,9.4,2.926829268292683,-0.010000000000000231,3.339,9.6,20.55,0.05971227307309243,2.9000000000000057,True,1,Rowing segment,0.0115452930728242,0.029322548028311517,0.0,False,False,0.0,94.22735346358789,85.33872598584423,100.0,89.55801830528785,91.3
54,157.5,530.8,3.38,20.0,9.8,3.0,0.0,3.336,9.569999999999999,20.5,0.05641118880348313,2.9000000000000057,True,1,Rowing segment,0.012433392539964552,0.03235591506572316,0.0024330900243309346,False,False,0.0,93.78330373001769,83.82204246713842,98.78345498783453,92.8994431871073,90.9
55,160.6,540.7,3.38,21.0,9.9,2.857142857142857,0.0,3.34,9.58,20.55,0.058118652580542336,3.0999999999999943,True,1,Rowing segment,0.011249259917110791,0.031344792719919155,0.0,False,False,0.0,94.37537004144457,84.32760364004037,100.0,91.17111349798175,91.2
56,163.5,550.8,3.39,20.5,10.1,2.926829268292683,0.010000000000000231,3.351,9.669999999999998,20.6,0.05586690532964148,2.9000000000000057,True,1,Rowing segment,0.007992895204262917,0.022244691607684774,0.0024330900243309346,False,False,0.0,96.0035523978685,88.87765419615762,98.78345498783453,93.45037802963793,93.5
57,166.5,561.2,3.44,20.0,10.4,3.0,0.04999999999999982,3.37,9.74,20.55,0.04966554808583817,3.0,True,1,Rowing segment,0.002368265245707521,0.01516683518705767,0.0,False,False,0.0,98.8158673771462,92.41658240647115,100.0,99.72751841840723,96.9
58,169.5,572.1,3.47,20.0,10.9,3.0,0.03000000000000025,3.3910000000000005,9.85,20.45,0.041753243386992066,3.0,True,1,Rowing segment,-0.0038484310242748207,0.004044489383215462,0.004866180048661869,False,False,0.0,100.0,97.97775530839225,97.56690997566906,100.0,98.9
59,172.1,582.2,3.47,20.5,10.2,2.926829268292683,0.0,3.407,9.919999999999998,20.45,0.03772709017845687,2.5999999999999943,True,1,Rowing segment,-0.008584961515689733,-0.0030333670374112823,0.004866180048661869,False,False,0.0,100.0,100.0,97.56690997566906,100.0,99.6
60,175.1,592.8,3.44,21.0,10.5,2.857142857142857,-0.03000000000000025,3.4130000000000003,9.98,20.55,0.03772709017845691,3.0,True,1,Rowing segment,-0.010361160449970439,-0.009100101112234565,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
61,178.1,603.2,3.41,20.0,10.5,3.0,-0.029999999999999805,3.415,10.14,20.45,0.03689323936863228,3.0,True,1,Rowing segment,-0.010953226761397252,-0.025278058645096056,0.004866180048661869,False,False,0.0,100.0,100.0,97.56690997566906,100.0,99.6
