StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
1,6.3,1.4,1.03,9.5,1.4,6.315789473684211,,,,,,0.0,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
2,9.1,1.7,0.22,18.5,0.3,3.2432432432432434,-0.81,,,,,2.8,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
3,12.1,5.7,0.38,28.0,4.0,2.142857142857143,0.16,,,,,3.0,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
4,13.1,7.4,1.16,31.5,1.7,1.9047619047619047,0.7799999999999999,,,,,1.0,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
5,16.5,15.8,2.04,18.0,8.5,3.3333333333333335,0.8800000000000001,0.966,3.18,21.1,0.7237264676657887,3.4000000000000004,True,1,Rowing segment,0.7097355769230769,0.6838966202783301,0.06030150753768859,False,False,0.0,0.0,0.0,68.51385390428212,0.0,10.3
6,19.7,25.4,2.59,19.5,9.6,3.076923076923077,0.5499999999999998,1.2366666666666666,4.25,20.833333333333332,0.9265995179508063,3.1999999999999993,True,1,Rowing segment,0.6284054487179488,0.5775347912524851,0.04690117252931325,False,False,0.0,0.0,0.0,75.230898404702,0.0,11.3
7,22.5,33.9,2.95,20.0,8.5,3.0,0.3600000000000003,1.4814285714285715,4.857142857142857,20.714285714285715,1.0652922693081084,2.8000000000000007,True,1,Rowing segment,0.5548592032967034,0.5171826185742687,0.04091888011486014,False,False,0.0,0.0,0.0,78.2295789852465,0.0,11.7
8,25.7,44.0,3.09,20.0,10.1,3.0,0.13999999999999968,1.6825,5.5125,20.625,1.1384921105191224,3.1999999999999993,True,1,Rowing segment,0.4944411057692308,0.45203777335984097,0.036432160804020175,False,False,0.0,0.0,0.0,80.47858942065496,0.0,12.1
9,28.5,52.4,3.09,21.0,8.4,2.857142857142857,0.0,1.838888888888889,5.833333333333333,20.666666666666668,1.1637272494494193,2.8000000000000007,True,1,Rowing segment,0.44744925213675213,0.42014579191517565,0.038525963149078864,False,False,0.0,0.0,0.0,79.42905121746433,0.0,11.9
10,31.5,62.0,3.09,20.0,9.6,3.0,0.0,1.964,6.21,20.6,1.1663256644503521,3.0,True,1,Rowing segment,0.4098557692307693,0.38270377733598415,0.03517587939698507,False,False,0.0,0.0,0.0,81.10831234256928,0.0,12.2
11,34.3,70.4,3.11,20.5,8.4,2.926829268292683,0.020000000000000018,2.1719999999999997,6.909999999999999,21.7,1.1667219034542893,2.799999999999997,True,1,Rowing segment,0.3473557692307694,0.3131212723658053,0.09045226130653271,False,False,0.0,0.0,0.0,53.40050377833758,0.0,8.0
12,37.3,80.0,3.03,20.5,9.6,2.926829268292683,-0.08000000000000007,2.4530000000000003,7.840000000000001,21.9,0.9653675178109344,3.0,True,1,Rowing segment,0.2629206730769231,0.22067594433399598,0.10050251256281408,False,False,0.0,0.0,0.0,48.36272040302275,0.0,7.3
13,40.3,89.0,3.05,20.5,9.0,2.926829268292683,0.020000000000000018,2.7199999999999998,8.34,21.15,0.6440841904941038,3.0,True,1,Rowing segment,0.18269230769230785,0.17097415506958255,0.0628140703517588,False,False,0.0,20.531849103277654,22.492401215805423,67.25440806045347,0.0,25.1
14,43.3,98.6,3.09,19.5,9.6,3.076923076923077,0.040000000000000036,2.913,9.129999999999999,19.95,0.3439008254973789,3.0,True,1,Rowing segment,0.12469951923076937,0.09244532803180928,0.002512562814070388,False,False,0.0,50.371057513914685,62.51266464032412,97.48110831234263,0.0,54.1
15,46.3,108.1,3.12,19.5,9.5,3.076923076923077,0.03000000000000025,3.021,9.23,20.1,0.15933542536981155,3.0,True,1,Rowing segment,0.09224759615384626,0.08250497017892644,0.010050251256281551,False,False,0.0,67.06864564007425,67.57852077001009,93.70277078085643,17.404511547263233,63.8
16,49.5,117.8,3.09,19.5,9.6,3.076923076923077,-0.03000000000000025,3.0709999999999997,9.23,20.1,0.04998888765405716,3.200000000000003,True,1,Rowing segment,0.07722355769230785,0.08250497017892644,0.010050251256281551,False,False,0.0,74.79901051329624,67.57852077001009,93.70277078085643,100.0,78.9
17,52.5,126.6,2.99,19.5,8.9,3.076923076923077,-0.09999999999999964,3.075,9.27,20.05,0.03979112128772449,3.0,True,1,Rowing segment,0.07602163461538464,0.07852882703777345,0.0075376884422111625,False,False,0.0,75.41743970315406,69.60486322188441,94.96221662468515,100.0,80.0
18,55.5,135.7,2.97,20.0,9.1,3.0,-0.020000000000000018,3.0629999999999997,9.17,20.05,0.051218486246026214,3.0,True,1,Rowing segment,0.07962740384615401,0.08846918489065611,0.0075376884422111625,False,False,0.0,73.5621521335807,64.5390070921985,94.96221662468515,100.0,77.6
19,58.7,145.3,3.04,19.5,9.5,3.076923076923077,0.06999999999999984,3.058,9.280000000000001,19.9,0.050728033012668344,3.200000000000003,True,1,Rowing segment,0.08112980769230782,0.07753479125248502,0.0,False,False,0.0,72.78911564625851,70.11144883485309,98.74055415617136,100.0,79.8
20,61.5,154.0,3.07,20.5,8.7,2.926829268292683,0.029999999999999805,3.056,9.19,19.95,0.04971027168616306,2.799999999999997,True,1,Rowing segment,0.0817307692307693,0.08648111332007961,0.002512562814070388,False,False,0.0,72.47990105132968,65.55217831813565,97.48110831234263,100.0,77.9
21,64.7,163.7,3.08,20.0,9.7,3.0,0.010000000000000231,3.053,9.32,19.9,0.0469160005873491,3.200000000000003,True,1,Rowing segment,0.08263221153846163,0.07355864811133203,0.0,False,False,0.0,72.01607915893632,72.13779128672742,98.74055415617136,100.0,80.3
22,67.7,173.1,3.14,19.5,9.5,3.076923076923077,0.06000000000000005,3.0639999999999996,9.309999999999999,19.8,0.053374983736671454,3.0,True,1,Rowing segment,0.07932692307692327,0.07455268389662045,0.005025125628140597,False,False,0.0,73.7167594310451,71.63120567375874,98.74055415617127,100.0,80.7
23,70.7,182.7,3.17,20.5,9.6,2.926829268292683,0.029999999999999805,3.076,9.37,19.8,0.06257440016138091,3.0,True,1,Rowing segment,0.07572115384615391,0.06858846918489078,0.005025125628140597,False,False,0.0,75.57204700061848,74.67071935157033,98.74055415617127,97.926940071374,82.1
24,73.5,192.0,3.2,20.5,9.3,2.926829268292683,0.03000000000000025,3.087,9.34,19.9,0.07394442357459333,2.799999999999997,True,1,Rowing segment,0.0724158653846154,0.07157057654075552,0.0,False,False,0.0,77.27272727272732,73.15096251266456,98.74055415617136,88.46505295684916,80.7
25,76.5,201.8,3.29,19.5,9.8,3.076923076923077,0.08999999999999986,3.104,9.370000000000001,19.9,0.09800226754746835,3.0,True,1,Rowing segment,0.06730769230769236,0.0685884691848906,0.0,False,False,0.0,79.90105132962282,74.67071935157037,98.74055415617136,68.44463649704863,79.2
26,79.5,212.2,3.37,20.5,10.5,2.926829268292683,0.08000000000000007,3.132,9.459999999999999,20.0,0.1287374589361407,3.0,True,1,Rowing segment,0.05889423076923082,0.05964214711729636,0.005025125628140776,False,False,0.0,84.23005565862718,79.2299898682876,96.2216624685139,42.86747620510083,78.1
27,82.5,222.6,3.44,20.0,10.4,3.0,0.06999999999999984,3.177,9.610000000000001,20.05,0.15041054927542347,3.0,True,1,Rowing segment,0.04537259615384622,0.04473161033797209,0.0075376884422111625,False,False,0.0,91.18738404452696,86.82877406281658,94.96221662468515,24.831600045435675,80.3
28,85.3,232.5,3.51,21.0,9.9,2.857142857142857,0.06999999999999984,3.2310000000000003,9.69,20.15,0.1641442455078298,2.799999999999997,True,1,Rowing segment,0.029146634615384606,0.0367793240556661,0.01256281407035176,False,False,0.0,99.53617810760679,90.88145896656523,92.44332493702778,13.402715627730721,82.5
29,88.3,242.6,3.46,21.0,10.1,2.857142857142857,-0.04999999999999982,3.2730000000000006,9.75,20.3,0.1635746516629888,3.0,True,1,Rowing segment,0.01652644230769222,0.030815109343936428,0.020100502512562922,False,False,0.0,100.0,93.92097264437682,88.66498740554158,13.876719283233419,83.3
30,91.1,252.6,3.51,20.5,9.9,2.926829268292683,0.04999999999999982,3.317,9.870000000000001,20.3,0.16207337158762167,2.799999999999997,True,1,Rowing segment,0.0033052884615384975,0.018886679920477087,0.020100502512562922,False,False,0.0,100.0,99.99999999999997,88.66498740554158,15.126052031651716,85.6
31,94.1,262.9,3.5,21.0,10.3,2.857142857142857,-0.009999999999999787,3.3590000000000004,9.930000000000001,20.4,0.1476068351323182,3.0,True,1,Rowing segment,-0.009314903846153888,0.012922465208747416,0.02512562814070352,False,False,0.0,100.0,100.0,86.14609571788421,27.16479020339364,87.0
32,97.1,273.4,3.4,20.0,10.5,3.0,-0.10000000000000009,3.3850000000000002,10.030000000000001,20.45,0.12607317099385615,3.0,True,1,Rowing segment,-0.017127403846153827,0.0029821073558647473,0.027638190954773906,False,False,0.0,100.0,100.0,84.88664987405548,45.084638899875216,89.5
33,100.1,283.6,3.37,19.5,10.2,3.076923076923077,-0.029999999999999805,3.405,10.09,20.35,0.10168032695113921,3.0,True,1,Rowing segment,-0.023137019230769083,-0.0029821073558647473,0.02261306532663331,False,False,0.0,100.0,100.0,87.40554156171285,65.38383515889048,92.9
34,103.1,293.8,3.38,20.5,10.2,2.926829268292683,0.009999999999999787,3.4229999999999996,10.18,20.35,0.07334090869965139,3.0,True,1,Rowing segment,-0.028545673076922868,-0.011928429423459166,0.02261306532663331,False,False,0.0,100.0,100.0,87.40554156171285,88.96728495858818,96.5
35,106.1,304.3,3.42,20.0,10.5,3.0,0.040000000000000036,3.436,10.25,20.4,0.05680375574439062,3.0,True,1,Rowing segment,-0.03245192307692297,-0.018886679920477087,0.02512562814070352,False,False,0.0,100.0,100.0,86.14609571788421,100.0,97.9
36,109.1,314.6,3.43,20.5,10.4,2.926829268292683,0.010000000000000231,3.442,10.24,20.4,0.052025634707021096,3.0,True,1,Rowing segment,-0.034254807692307654,-0.01789264413518884,0.02512562814070352,False,False,0.0,100.0,100.0,86.14609571788421,100.0,97.9
37,111.9,324.7,3.49,20.0,10.1,3.0,0.06000000000000005,3.447,10.209999999999999,20.4,0.054170512683988675,2.8000000000000114,True,1,Rowing segment,-0.03575721153846147,-0.014910536779323913,0.02512562814070352,False,False,0.0,100.0,100.0,86.14609571788421,100.0,97.9
38,115.1,335.8,3.5,19.5,11.1,3.076923076923077,0.009999999999999787,3.446,10.33,20.25,0.052957005621977755,3.1999999999999886,True,1,Rowing segment,-0.03545673076923073,-0.026838966202783258,0.017587939698492535,False,False,0.0,100.0,100.0,89.92443324937031,100.0,98.5
39,118.1,346.3,3.46,19.5,10.5,3.076923076923077,-0.040000000000000036,3.446,10.37,20.1,0.052957005621977755,3.0,True,1,Rowing segment,-0.03545673076923073,-0.030815109343936255,0.010050251256281551,False,False,0.0,100.0,100.0,93.70277078085643,100.0,99.1
40,121.3,357.3,3.46,19.5,11.0,3.076923076923077,0.0,3.4410000000000003,10.48,20.0,0.04840798832150612,3.200000000000003,True,1,Rowing segment,-0.03395432692307691,-0.04174950298210735,0.005025125628140776,False,False,0.0,100.0,100.0,96.2216624685139,100.0,99.4
41,124.3,367.3,3.4,20.0,10.0,3.0,-0.06000000000000005,3.431,10.45,19.9,0.04508017549016375,3.0,True,1,Rowing segment,-0.030949519230769156,-0.03876739562624242,0.0,False,False,0.0,100.0,100.0,98.74055415617136,100.0,99.8
42,127.3,377.1,3.37,20.0,9.8,3.0,-0.029999999999999805,3.428,10.38,19.9,0.04825856285562827,3.0,True,1,Rowing segment,-0.030048076923076813,-0.03180914512922468,0.0,False,False,0.0,100.0,100.0,98.74055415617136,100.0,99.8
43,130.3,387.2,3.33,19.5,10.1,3.076923076923077,-0.040000000000000036,3.4240000000000004,10.370000000000001,19.9,0.05481281277626773,3.000000000000014,True,1,Rowing segment,-0.02884615384615387,-0.030815109343936428,0.0,False,False,0.0,100.0,100.0,98.74055415617136,100.0,99.8
44,133.3,397.2,3.33,20.5,10.0,2.926829268292683,0.0,3.4189999999999996,10.35,19.9,0.06118278625017878,3.0,True,1,Rowing segment,-0.02734374999999979,-0.028827037773359755,0.0,False,False,0.0,100.0,100.0,98.74055415617136,99.08501101426195,99.7
45,136.3,407.3,3.37,20.5,10.1,2.926829268292683,0.040000000000000036,3.414,10.309999999999999,19.95,0.06310485101974297,3.0,True,1,Rowing segment,-0.025841346153846107,-0.02485089463220658,0.002512562814070388,False,False,0.0,100.0,100.0,97.48110831234263,97.48551036105411,99.2
46,139.3,417.5,3.33,19.5,10.2,3.076923076923077,-0.040000000000000036,3.404,10.29,19.85,0.06801960501699784,3.0,True,1,Rowing segment,-0.022836538461538346,-0.022862823061630084,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,93.39555857927967,99.0
47,142.3,427.9,3.38,20.0,10.4,3.0,0.04999999999999982,3.393,10.32,19.85,0.061110101001767045,3.0,True,1,Rowing segment,-0.019531249999999847,-0.025844930417495006,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,99.14549810301885,99.9
48,145.3,438.1,3.47,20.5,10.2,2.926829268292683,0.0900000000000003,3.3899999999999997,10.23,19.95,0.0557773351022872,3.0,True,1,Rowing segment,-0.018629807692307508,-0.01689860834990059,0.002512562814070388,False,False,0.0,100.0,100.0,97.48110831234263,100.0,99.6
49,148.3,448.2,3.43,20.0,10.1,3.0,-0.040000000000000036,3.3869999999999996,10.190000000000001,20.0,0.05229191567007439,3.0,True,1,Rowing segment,-0.017728365384615166,-0.012922465208747591,0.005025125628140776,False,False,0.0,100.0,100.0,96.2216624685139,100.0,99.4
50,151.3,457.9,3.35,20.0,9.7,3.0,-0.08000000000000007,3.376,10.06,20.05,0.04647580015450762,3.0,True,1,Rowing segment,-0.0144230769230768,0.0,0.0075376884422111625,False,False,0.0,100.0,100.0,94.96221662468515,100.0,99.2
51,154.3,468.2,3.31,20.0,10.3,3.0,-0.040000000000000036,3.367,10.09,20.05,0.04989989979951596,3.0,True,1,Rowing segment,-0.01171874999999991,-0.0029821073558647473,0.0075376884422111625,False,False,0.0,100.0,100.0,94.96221662468515,100.0,99.2
52,157.3,478.4,3.35,19.5,10.2,3.076923076923077,0.040000000000000036,3.3649999999999998,10.129999999999999,20.0,0.050166389810991974,3.0,True,1,Rowing segment,-0.011117788461538304,-0.006958250497017744,0.005025125628140776,False,False,0.0,100.0,100.0,96.2216624685139,100.0,99.4
53,160.5,488.8,3.35,19.5,10.4,3.076923076923077,0.0,3.367,10.16,20.0,0.049001133773748984,3.1999999999999886,True,1,Rowing segment,-0.01171874999999991,-0.009940357852882668,0.005025125628140776,False,False,0.0,100.0,100.0,96.2216624685139,100.0,99.4
54,163.5,498.8,3.28,19.5,10.0,3.076923076923077,-0.07000000000000028,3.3619999999999997,10.16,19.9,0.055337349251874716,3.0,True,1,Rowing segment,-0.010216346153845961,-0.009940357852882668,0.0,False,False,0.0,100.0,100.0,98.74055415617136,100.0,99.8
55,166.5,508.6,3.24,20.0,9.8,3.0,-0.03999999999999959,3.349,10.13,19.85,0.06723920813865111,3.0,True,1,Rowing segment,-0.006310096153846125,-0.006958250497017921,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,94.04498795150627,99.1
56,169.7,518.9,3.23,19.5,10.3,3.076923076923077,-0.010000000000000231,3.339,10.14,19.85,0.07709301740971797,3.1999999999999886,True,1,Rowing segment,-0.003305288461538364,-0.00795228628230617,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,85.84486139217576,97.9
57,172.7,528.7,3.26,20.0,9.8,3.0,0.029999999999999805,3.3270000000000004,10.08,19.85,0.07930952023560449,3.0,True,1,Rowing segment,0.0003004807692307361,-0.0019880715705764985,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,84.00033576849123,97.6
58,175.7,538.5,3.23,20.0,9.8,3.0,-0.029999999999999805,3.303,10.04,19.8,0.06650814486463369,3.0,True,1,Rowing segment,0.007512019230769337,0.001988071570576675,0.005025125628140597,False,False,0.0,100.0,100.0,98.74055415617127,94.65336296718915,99.0
59,178.5,547.8,3.22,20.0,9.4,3.0,-0.009999999999999787,3.282,9.97,19.8,0.05391351098443174,2.8000000000000114,True,1,Rowing segment,0.013822115384615462,0.00894632206759442,0.005025125628140597,False,False,0.0,100.0,100.0,98.74055415617127,100.0,99.8
60,181.7,558.5,3.33,20.0,10.7,3.0,0.10999999999999988,3.2800000000000002,10.07,19.8,0.051424162068488974,3.1999999999999886,True,1,Rowing segment,0.014423076923076934,-0.0009940357852882492,0.005025125628140597,False,False,0.0,100.0,100.0,98.74055415617127,100.0,99.8
61,184.7,568.5,3.38,20.0,10.0,3.0,0.04999999999999982,3.287,10.040000000000001,19.8,0.0600092585449352,3.0,True,1,Rowing segment,0.012319711538461649,0.0019880715705764985,0.005025125628140597,False,False,0.0,100.0,100.0,98.74055415617127,100.0,99.8
62,187.7,578.7,3.37,20.0,10.2,3.0,-0.009999999999999787,3.289,10.04,19.85,0.06261877602694642,3.0,True,1,Rowing segment,0.011718750000000043,0.001988071570576675,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,97.89001143760335,99.7
63,190.7,588.9,3.35,19.5,10.3,3.076923076923077,-0.020000000000000018,3.289,10.030000000000001,19.85,0.06261877602694642,3.0,True,1,Rowing segment,0.011718750000000043,0.0029821073558647473,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,97.89001143760335,99.7
64,194.1,599.5,3.34,19.5,10.6,3.076923076923077,-0.010000000000000231,3.2949999999999995,10.09,19.85,0.06450667493455912,3.4000000000000057,True,1,Rowing segment,0.009915865384615625,-0.0029821073558647473,0.002512562814070209,False,False,0.0,100.0,100.0,100.0,96.31894287439279,99.4
65,197.1,609.7,3.4,20.5,10.2,2.926829268292683,0.06000000000000005,3.311,10.129999999999999,19.9,0.06903300337923395,3.0,True,1,Rowing segment,0.005108173076923181,-0.006958250497017744,0.0,False,False,0.0,100.0,100.0,98.74055415617136,92.55223042092426,98.7
