StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
15,39.3,113.6,3.28,23.0,8.6,2.608695652173913,0.04999999999999982,3.198,8.790000000000001,22.1,0.05072803301265998,2.799999999999997,True,1,Rowing segment,0.04165418040155822,0.017877094972066857,0.022123893805309734,False,False,0.0,79.17290979922086,91.06145251396651,88.93805309734513,96.24852042142092,87.4
16,41.7,122.4,3.32,23.0,8.8,2.608695652173913,0.040000000000000036,3.222,8.77,22.1,0.045166359162546646,2.4000000000000057,True,1,Rowing segment,0.03446209169913089,0.020111731843575387,0.022123893805309734,False,False,0.0,82.76895415043455,89.94413407821227,88.93805309734513,100.0,88.8
17,44.3,131.0,3.29,23.5,8.6,2.5531914893617023,-0.029999999999999805,3.2310000000000003,8.709999999999999,22.4,0.04909175083453589,2.5999999999999943,True,1,Rowing segment,0.031765058435720535,0.026815642458100586,0.008849557522124019,False,False,0.0,84.1174707821397,86.5921787709497,95.57522123893798,97.98232681719186,88.8
18,46.9,139.6,3.25,23.0,8.6,2.608695652173913,-0.040000000000000036,3.2370000000000005,8.73,22.4,0.04715223571935358,2.6000000000000014,True,1,Rowing segment,0.029967036260113638,0.024581005586592052,0.008849557522124019,False,False,0.0,85.01648186994314,87.70949720670396,95.57522123893798,100.0,89.8
19,49.5,148.0,3.24,23.5,8.4,2.5531914893617023,-0.009999999999999787,3.2409999999999997,8.67,22.55,0.0453259797957484,2.6000000000000014,True,1,Rowing segment,0.028768354809709348,0.03128491620111725,0.0022123893805310046,False,False,0.0,85.61582259514533,84.35754189944134,98.89380530973449,100.0,89.3
20,51.9,156.0,3.22,23.5,8.0,2.5531914893617023,-0.020000000000000018,3.2400000000000007,8.620000000000001,22.65,0.045704364002675246,2.3999999999999986,True,1,Rowing segment,0.029068025172310188,0.036871508379888084,0.0022123893805308477,False,False,0.0,85.46598741384487,81.56424581005595,98.89380530973457,100.0,88.3
21,54.5,164.6,3.27,22.5,8.7,2.6666666666666665,0.04999999999999982,3.247,8.6,22.8,0.04423422506009125,2.6000000000000014,True,1,Rowing segment,0.026970332634102447,0.039106145251396614,0.008849557522123862,False,False,0.0,86.51483368294876,80.44692737430164,95.57522123893807,100.0,87.8
22,57.3,173.5,3.37,23.0,8.9,2.608695652173913,0.10000000000000009,3.2659999999999996,8.65,22.9,0.052323778320930686,2.799999999999997,True,1,Rowing segment,0.021276595744680906,0.03351955307262558,0.013274336283185714,False,False,0.0,89.36170212765953,83.24022346368719,93.36283185840715,94.55766693753519,88.6
23,59.7,182.3,3.44,24.5,8.9,2.4489795918367347,0.06999999999999984,3.2910000000000004,8.65,23.05,0.06903300337922169,2.4000000000000057,True,1,Rowing segment,0.013784836679652196,0.03351955307262558,0.01991150442477873,False,False,0.0,93.10758166017386,83.24022346368719,90.04424778761063,76.85255368643664,86.8
24,62.3,191.2,3.43,23.5,8.9,2.5531914893617023,-0.009999999999999787,3.311,8.64,23.3,0.07781031065639368,2.5999999999999943,True,1,Rowing segment,0.007791429427629548,0.03463687150837975,0.030973451327433597,False,False,0.0,96.1042852861852,82.68156424581008,84.5132743362832,67.55210924093487,85.4
