StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
1,5.2,1.4,0.3,11.5,1.4,5.217391304347826,,,,,,0.0,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
2,6.2,1.9,0.34,44.5,0.5,1.348314606741573,0.040000000000000036,,,,,1.0,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
3,9.7,4.7,0.51,18.5,2.8,3.2432432432432434,0.16999999999999998,,,,,3.499999999999999,False,,Transition/Cooldown,,,,False,False,0.0,,,,100.0,
4,10.6,6.4,1.14,50.5,1.7,1.188118811881188,0.6299999999999999,,,,,0.9000000000000004,True,1,Rowing segment,,,,False,False,0.0,,,,100.0,
5,13.8,13.3,1.86,19.0,6.9,3.1578947368421053,0.7200000000000002,0.8300000000000001,2.66,28.8,0.6671581521648372,3.200000000000001,True,1,Rowing segment,0.7585103287750946,0.7439846005774784,0.4328358208955223,False,False,0.0,0.0,0.0,0.0,0.0,0.0
6,16.6,20.6,2.26,21.5,7.3,2.7906976744186047,0.3999999999999997,1.0683333333333334,3.4333333333333336,27.583333333333332,0.8348033700618767,2.8000000000000007,True,1,Rowing segment,0.689166909126176,0.669554058389477,0.37230514096185724,False,False,0.0,0.0,0.0,0.0,0.0,0.0
7,19.4,28.9,2.68,21.5,8.4,2.7906976744186047,0.4200000000000004,1.2985714285714285,4.142857142857143,26.714285714285715,0.9756096994773503,2.799999999999997,True,1,Rowing segment,0.6221788104243735,0.6012649525642788,0.32906894100923945,False,False,0.0,0.0,0.0,0.0,0.0,0.0
8,22.4,38.6,3.01,20.5,9.7,2.926829268292683,0.3299999999999996,1.5125,4.8375,25.9375,1.0871818089511458,3.0,True,1,Rowing segment,0.5599359906895549,0.5344080846968239,0.2904228855721392,False,False,0.0,0.0,0.0,0.0,0.0,0.0
9,25.0,47.0,3.15,22.5,8.5,2.6666666666666665,0.14000000000000012,1.6944444444444444,5.2444444444444445,25.555555555555557,1.1541892296230187,2.6000000000000014,True,1,Rowing segment,0.5069989978340285,0.49524115067907176,0.271420674405749,False,False,0.0,0.0,0.0,0.0,0.0,0.0
10,27.8,56.1,3.2,21.0,9.1,2.857142857142857,0.050000000000000266,1.845,5.63,25.1,1.1877733603493368,2.8000000000000007,True,1,Rowing segment,0.4631946464940355,0.4581328200192493,0.24875621890547261,False,False,0.0,0.0,0.0,0.0,0.0,0.0
11,30.6,64.7,3.28,23.0,8.6,2.608695652173913,0.07999999999999963,2.143,6.35,26.25,1.129474312333938,2.8000000000000007,True,1,Rowing segment,0.3764911259819611,0.3888354186717999,0.3059701492537312,False,False,0.0,0.0,0.0,0.0,0.0,0.0
12,33.6,74.8,3.36,21.0,10.0,2.857142857142857,0.08000000000000007,2.445,7.3,23.9,0.9888068005879046,3.0,True,1,Rowing segment,0.28862379982542924,0.2974013474494707,0.18905472636815904,False,False,0.0,0.0,0.0,5.472636815920485,0.0,0.8
13,36.0,83.6,3.36,21.5,8.9,2.7906976744186047,0.0,2.73,7.910000000000001,24.2,0.7513247559403908,2.3999999999999986,True,1,Rowing segment,0.20570264765784121,0.23869104908565922,0.20398009950248744,False,False,0.0,0.0,0.0,0.0,0.0,0.0
14,39.0,93.5,3.3,21.0,9.9,2.857142857142857,-0.06000000000000005,2.946,8.73,21.25,0.5175411953544257,3.0,True,1,Rowing segment,0.14285714285714288,0.15976900866217517,0.05721393034825863,False,False,0.0,28.571428571428523,20.11549566891241,71.39303482587069,0.0,27.7
15,41.8,103.0,3.29,20.5,9.5,2.926829268292683,-0.009999999999999787,3.089,8.989999999999998,21.4,0.3566962604544952,2.799999999999997,True,1,Rowing segment,0.10125109106779176,0.13474494706448528,0.06467661691542274,False,False,0.0,49.37445446610411,32.62752646775735,67.66169154228862,0.0,38.8
